FLOWER_UNIQUE_ID,SITE,SITE_TREATMENT,POT_NUMBER,PLANT_NUMBER,FLOWER_TREATMENT,SEEDS_PRODUCED,PL_INDEX,DATE_PLACED_AT_SITE,DATE_RETURNED,DATE_FLOWER_OPEN_CONFIRMED,DATE_POLLEN_APPLIED,BOTH_FLOWERS_OPEN,NOTES
1,west memorial,treatment,1,1,control,108,#DIV/0!,6.29.2022,7.7.2022,7.5.2022,,Y,
2,west memorial,treatment,1,1,treatment,,,6.29.2022,7.7.2022,7.5.2022,7.5.2022,Y,
3,west memorial,treatment,1,2,control,,#DIV/0!,6.29.2022,7.7.2022,7.5.2022,,Y,
4,west memorial,treatment,1,2,treatment,,,6.29.2022,7.7.2022,7.5.2022,7.5.2022,Y,
5,west memorial,treatment,1,3,control,113,#DIV/0!,6.29.2022,7.7.2022,7.5.2022,,Y,
6,west memorial,treatment,1,3,treatment,,,6.29.2022,7.7.2022,7.7.2022,7.7.2022,Y,
7,west memorial,treatment,1,4,control,,#DIV/0!,6.29.2022,7.7.2022,7.1.2022,,Y,
8,west memorial,treatment,1,4,treatment,,,6.29.2022,7.7.2022,7.1.2022,7.1.2022,Y,
9,west memorial,treatment,2,1,control,,#DIV/0!,6.29.2022,7.7.2022,7.5.2022,,Y,
10,west memorial,treatment,2,1,treatment,,,6.29.2022,7.7.2022,7.5.2022,7.5.2022,Y,
11,west memorial,treatment,2,2,control,,#DIV/0!,6.29.2022,7.7.2022,7.5.2022,,Y,
12,west memorial,treatment,2,2,treatment,,,6.29.2022,7.7.2022,7.5.2022,7.5.2022,Y,
13,west memorial,treatment,2,3,control,,#DIV/0!,6.29.2022,7.7.2022,,,N,
14,west memorial,treatment,2,3,treatment,,,6.29.2022,7.7.2022,7.5.2022,,N,
15,west memorial,treatment,2,4,control,,0,6.29.2022,7.7.2022,7.5.2022,,Y,
16,west memorial,treatment,2,4,treatment,71,,6.29.2022,7.7.2022,7.5.2022,7.5.2022,Y,
17,west memorial,treatment,3,1,control,,#DIV/0!,6.29.2022,7.7.2022,7.1.2022,,Y,
18,west memorial,treatment,3,1,treatment,,,6.29.2022,7.7.2022,7.5.2022,7.5.2022,Y,
19,west memorial,treatment,3,2,control,,0,6.29.2022,7.7.2022,7.1.2022,,Y,
20,west memorial,treatment,3,2,treatment,118,,6.29.2022,7.7.2022,7.5.2022,7.5.2022,Y,
21,west memorial,treatment,3,3,control,,#DIV/0!,6.29.2022,7.7.2022,7.1.2022,,Y,
22,west memorial,treatment,3,3,treatment,,,6.29.2022,7.7.2022,7.1.2022,7.1.2022,Y,
23,west memorial,treatment,3,4,control,,#DIV/0!,6.29.2022,7.7.2022,7.1.2022,,Y,
24,west memorial,treatment,3,4,treatment,,,6.29.2022,7.7.2022,7.5.2022,7.5.2022,Y,
25,west memorial,treatment,4,1,control,,#DIV/0!,6.29.2022,7.7.2022,7.5.2022,,Y,
26,west memorial,treatment,4,1,treatment,,,6.29.2022,7.7.2022,7.5.2022,7.5.2022,Y,
27,west memorial,treatment,4,2,control,,0,6.29.2022,7.7.2022,7.5.2022,,Y,
28,west memorial,treatment,4,2,treatment,95,,6.29.2022,7.7.2022,7.5.2022,7.5.2022,Y,
